"Time","Wager","Win","Balance"
"2019-06-03 20:19:14.796904",0.0,0.0,1000.0
"2019-06-03 20:19:14.852323",50.0,50.0,1000.0
"2019-06-03 20:19:17.653179",50.0,0.0,950.0
"2019-06-03 20:19:20.385689",50.0,50.0,950.0
"2019-06-03 20:19:23.119729",50.0,0.0,900.0
"2019-06-03 20:19:25.878115",50.0,15.0,865.0
"2019-06-03 20:19:28.607502",50.0,0.0,815.0
"2019-06-03 20:19:31.341315",50.0,0.0,765.0
"2019-06-03 20:19:34.078400",50.0,0.0,715.0
"2019-06-03 20:19:36.822835",50.0,0.0,665.0
"2019-06-03 20:19:39.543351",50.0,0.0,615.0
"2019-06-03 20:19:42.276153",50.0,75.0,640.0
"2019-06-03 20:19:45.006349",50.0,0.0,590.0
"2019-06-03 20:19:47.732628",50.0,0.0,540.0
"2019-06-03 20:19:50.457246",50.0,0.0,490.0
"2019-06-03 20:19:53.182909",50.0,45.0,485.0
"2019-06-03 20:19:55.909577",50.0,0.0,435.0
"2019-06-03 20:19:58.631458",50.0,0.0,385.0
"2019-06-03 20:20:01.345187",50.0,0.0,335.0
"2019-06-03 20:20:04.071241",50.0,0.0,285.0
"2019-06-03 20:20:06.793373",50.0,15.0,250.0
"2019-06-03 20:20:09.517238",50.0,0.0,200.0
"2019-06-03 20:20:12.244196",50.0,25.0,175.0
"2019-06-03 20:20:14.971025",50.0,0.0,125.0
"2019-06-03 20:20:17.693332",50.0,0.0,75.0
"2019-06-03 20:20:20.419124",50.0,0.0,25.0
"2019-06-03 20:20:26.367308",0.0,0.0,1000.0
"2019-06-03 20:20:26.409342",50.0,0.0,950.0
"2019-06-03 20:20:29.154748",50.0,0.0,900.0
"2019-06-03 20:20:31.883335",50.0,0.0,850.0
"2019-06-03 20:20:34.612343",50.0,15.0,815.0
"2019-06-03 20:20:37.340268",50.0,450.0,1215.0
"2019-06-03 20:20:40.064698",50.0,0.0,1165.0
"2019-06-03 20:20:42.793280",50.0,0.0,1115.0
"2019-06-03 20:20:45.518178",50.0,0.0,1065.0
"2019-06-03 20:20:48.240473",50.0,0.0,1015.0
"2019-06-03 20:20:50.970261",50.0,30.0,995.0
"2019-06-03 20:20:53.686929",50.0,0.0,945.0
"2019-06-03 20:20:56.413857",50.0,0.0,895.0
"2019-06-03 20:20:59.157121",50.0,0.0,845.0
"2019-06-03 20:21:01.881591",50.0,90.0,885.0
"2019-06-03 20:21:04.618712",50.0,0.0,835.0
"2019-06-03 20:21:07.352071",50.0,0.0,785.0
"2019-06-03 20:21:10.081604",50.0,40.0,775.0
"2019-06-03 20:21:12.810054",50.0,5.0,730.0
"2019-06-03 20:21:15.535118",50.0,20.0,700.0
"2019-06-03 20:21:18.255887",50.0,100.0,750.0
"2019-06-03 20:21:20.972150",50.0,10.0,710.0
"2019-06-03 20:21:23.697933",50.0,0.0,660.0
"2019-06-03 20:21:26.414363",50.0,0.0,610.0
"2019-06-03 20:21:30.200847",50.0,100.0,660.0
"2019-06-03 20:21:32.914871",50.0,0.0,610.0
"2019-06-03 20:21:35.635959",50.0,0.0,560.0
"2019-06-03 20:21:38.359497",50.0,30.0,540.0
"2019-06-03 20:21:41.087553",50.0,150.0,640.0
"2019-06-03 20:21:43.815097",50.0,0.0,590.0
"2019-06-03 20:21:46.547127",50.0,0.0,540.0
"2019-06-03 20:21:49.268099",50.0,0.0,490.0
