"Time","Wager","Win","Balance"
"2019-06-04 09:58:55.626327",0.0,0.0,1000.0
"2019-06-04 09:58:55.675445",50.0,0.0,950.0
"2019-06-04 09:58:57.923097",50.0,500.0,1400.0
"2019-06-04 09:59:01.219056",50.0,0.0,1350.0
"2019-06-04 09:59:03.408435",50.0,10.0,1310.0
"2019-06-04 09:59:06.151847",50.0,0.0,1260.0
"2019-06-04 09:59:08.869552",50.0,0.0,1210.0
"2019-06-04 09:59:11.589541",50.0,0.0,1160.0
"2019-06-04 09:59:14.308407",50.0,60.0,1170.0
"2019-06-04 09:59:17.029510",50.0,300.0,1420.0
"2019-06-04 09:59:19.758060",50.0,0.0,1370.0
"2019-06-04 09:59:22.475958",50.0,0.0,1320.0
"2019-06-04 09:59:25.198366",50.0,0.0,1270.0
"2019-06-04 09:59:27.919987",50.0,0.0,1220.0
"2019-06-04 09:59:30.645551",50.0,0.0,1170.0
"2019-06-04 09:59:33.364781",50.0,0.0,1120.0
"2019-06-04 09:59:36.094460",50.0,0.0,1070.0
"2019-06-04 09:59:38.810289",50.0,0.0,1020.0
"2019-06-04 09:59:41.529360",50.0,10.0,980.0
"2019-06-04 09:59:44.250922",50.0,0.0,930.0
"2019-06-04 09:59:46.433069",50.0,0.0,880.0
"2019-06-04 09:59:49.168375",50.0,15.0,845.0
"2019-06-04 09:59:51.885272",50.0,100.0,895.0
"2019-06-04 09:59:54.600760",50.0,0.0,845.0
"2019-06-04 09:59:57.327293",50.0,40.0,835.0
"2019-06-04 10:00:00.048936",50.0,0.0,785.0
