"Time","Wager","Win","Balance"
"2019-06-03 19:02:09.683997",0.0,0.0,1000.0
"2019-06-03 19:02:09.735890",50.0,0.0,950.0
"2019-06-03 19:02:12.507656",50.0,0.0,900.0
"2019-06-03 19:02:15.239781",50.0,30.0,880.0
"2019-06-03 19:02:17.965259",50.0,60.0,890.0
"2019-06-03 19:02:20.692070",50.0,0.0,840.0
"2019-06-03 19:02:23.410253",50.0,0.0,790.0
"2019-06-03 19:02:26.130664",50.0,0.0,740.0
"2019-06-03 19:02:28.861428",50.0,120.0,810.0
"2019-06-03 19:02:31.587348",50.0,0.0,760.0
"2019-06-03 19:02:34.312598",50.0,100.0,810.0
"2019-06-03 19:02:37.037273",50.0,45.0,805.0
"2019-06-03 19:02:39.764581",50.0,0.0,755.0
"2019-06-03 19:02:42.497714",50.0,0.0,705.0
"2019-06-03 19:02:45.220511",50.0,20.0,675.0
"2019-06-03 19:02:47.945848",50.0,0.0,625.0
"2019-06-03 19:02:50.675966",50.0,0.0,575.0
"2019-06-03 19:02:53.394607",50.0,0.0,525.0
"2019-06-03 19:02:56.110606",50.0,0.0,475.0
"2019-06-03 19:02:58.835194",50.0,0.0,425.0
"2019-06-03 19:03:01.565627",50.0,60.0,435.0
"2019-06-03 19:03:04.290957",50.0,150.0,535.0
"2019-06-03 19:03:07.019804",50.0,0.0,485.0
"2019-06-03 19:03:09.752274",50.0,0.0,435.0
"2019-06-03 19:03:12.469331",50.0,0.0,385.0
"2019-06-03 19:03:15.187019",50.0,0.0,335.0
"2019-06-03 19:03:17.910972",50.0,25.0,310.0
"2019-06-03 19:03:20.634165",50.0,5.0,265.0
"2019-06-03 19:03:27.619920",50.0,0.0,215.0
"2019-06-03 19:03:30.349684",50.0,0.0,165.0
"2019-06-03 19:03:33.067143",50.0,90.0,205.0
"2019-06-03 19:03:35.786188",50.0,0.0,155.0
"2019-06-03 19:03:38.520448",50.0,75.0,180.0
"2019-06-03 19:03:41.237328",50.0,0.0,130.0
"2019-06-03 19:03:43.952881",50.0,120.0,200.0
