"Time","Wager","Win","Balance"
"2019-06-03 18:25:06.459227",0.0,0.0,1000.0
"2019-06-03 18:25:06.511138",50.0,0.0,950.0
"2019-06-03 18:25:09.290890",50.0,100.0,1000.0
"2019-06-03 18:25:12.028090",50.0,0.0,950.0
"2019-06-03 18:25:14.755536",50.0,30.0,930.0
"2019-06-03 18:25:17.499183",50.0,0.0,880.0
"2019-06-03 18:25:20.226920",50.0,0.0,830.0
"2019-06-03 18:25:22.949390",50.0,0.0,780.0
"2019-06-03 18:25:25.669192",50.0,0.0,730.0
"2019-06-03 18:25:28.384504",50.0,0.0,680.0
"2019-06-03 18:25:31.112628",50.0,10.0,640.0
"2019-06-03 18:25:33.836089",50.0,0.0,590.0
"2019-06-03 18:25:36.556411",50.0,0.0,540.0
"2019-06-03 18:25:39.272379",50.0,0.0,490.0
"2019-06-03 18:25:41.997461",50.0,0.0,440.0
"2019-06-03 18:25:44.724168",50.0,60.0,450.0
"2019-06-03 18:25:47.444566",50.0,0.0,400.0
"2019-06-03 18:25:50.174346",50.0,0.0,350.0
"2019-06-03 18:25:52.893576",50.0,0.0,300.0
"2019-06-03 18:25:55.621112",50.0,0.0,250.0
"2019-06-03 18:25:58.339471",50.0,0.0,200.0
"2019-06-03 18:26:01.062279",50.0,0.0,150.0
"2019-06-03 18:26:03.791599",50.0,0.0,100.0
"2019-06-03 18:28:37.430846",50.0,15.0,65.0
"2019-06-03 18:28:40.681756",50.0,5.0,20.0
"2019-06-03 18:28:48.069916",0.0,0.0,1000.0
"2019-06-03 18:28:48.112609",50.0,0.0,950.0
"2019-06-03 18:28:50.869330",50.0,0.0,900.0
"2019-06-03 18:28:53.597593",50.0,120.0,970.0
"2019-06-03 18:28:56.325116",50.0,0.0,920.0
"2019-06-03 18:28:59.053792",50.0,25.0,895.0
"2019-06-03 18:29:01.781475",50.0,0.0,845.0
"2019-06-03 18:29:04.505937",50.0,25.0,820.0
"2019-06-03 18:29:07.231215",50.0,0.0,770.0
"2019-06-03 18:29:09.952462",50.0,0.0,720.0
"2019-06-03 18:29:12.684592",50.0,35.0,705.0
"2019-06-03 18:29:15.406560",50.0,50.0,705.0
"2019-06-03 18:29:22.407116",50.0,0.0,655.0
"2019-06-03 18:29:26.190556",50.0,0.0,605.0
"2019-06-03 18:29:28.912961",50.0,0.0,555.0
"2019-06-03 18:29:31.640461",50.0,0.0,505.0
"2019-06-03 18:29:35.958855",50.0,500.0,955.0
"2019-06-03 18:29:39.771111",50.0,0.0,905.0
"2019-06-03 18:29:52.626192",50.0,30.0,885.0
"2019-06-03 18:30:07.080123",50.0,0.0,835.0
"2019-06-03 18:30:20.459002",50.0,30.0,815.0
"2019-06-03 18:30:23.182703",50.0,200.0,965.0
"2019-06-03 18:30:25.891265",50.0,0.0,915.0
"2019-06-03 18:30:28.611079",50.0,0.0,865.0
"2019-06-03 18:30:31.331784",50.0,0.0,815.0
"2019-06-03 18:30:34.050345",50.0,120.0,885.0
"2019-06-03 18:30:36.784061",50.0,0.0,835.0
"2019-06-03 18:30:39.503009",50.0,20.0,805.0
"2019-06-03 18:30:42.234709",50.0,20.0,775.0
"2019-06-03 18:30:44.965264",50.0,0.0,725.0
"2019-06-03 18:30:47.683131",50.0,0.0,675.0
"2019-06-03 18:30:50.404606",50.0,0.0,625.0
"2019-06-03 18:30:53.137794",50.0,0.0,575.0
"2019-06-03 18:30:55.860714",50.0,565.0,1090.0
"2019-06-03 18:31:34.450325",50.0,10.0,1050.0
"2019-06-03 18:31:37.174818",50.0,50.0,1050.0
"2019-06-03 18:31:39.889899",50.0,0.0,1000.0
"2019-06-03 18:31:42.602647",50.0,500.0,1450.0
"2019-06-03 18:31:45.869221",50.0,45.0,1445.0
"2019-06-03 18:31:48.596201",50.0,0.0,1395.0
"2019-06-03 18:31:51.325301",50.0,0.0,1345.0
"2019-06-03 18:31:54.047554",50.0,15.0,1310.0
"2019-06-03 18:31:56.780510",50.0,0.0,1260.0
"2019-06-03 18:31:59.511686",50.0,0.0,1210.0
"2019-06-03 18:32:02.229774",50.0,0.0,1160.0
"2019-06-03 18:32:04.940477",50.0,0.0,1110.0
"2019-06-03 18:32:07.657786",50.0,30.0,1090.0
"2019-06-03 18:32:10.374320",50.0,0.0,1040.0
"2019-06-03 18:32:13.091877",50.0,0.0,990.0
"2019-06-03 18:32:15.811186",50.0,0.0,940.0
"2019-06-03 18:32:18.524525",50.0,0.0,890.0
"2019-06-03 18:32:21.247317",50.0,0.0,840.0
"2019-06-03 18:32:23.983303",50.0,0.0,790.0
"2019-06-03 18:32:26.705809",50.0,0.0,740.0
"2019-06-03 18:32:29.426372",50.0,30.0,720.0
"2019-06-03 18:32:32.149735",50.0,0.0,670.0
"2019-06-03 18:32:34.864605",50.0,0.0,620.0
"2019-06-03 18:32:37.583960",50.0,60.0,630.0
"2019-06-03 18:32:40.311910",50.0,0.0,580.0
"2019-06-03 18:32:43.027845",50.0,125.0,655.0
"2019-06-03 18:32:45.744572",50.0,0.0,605.0
"2019-06-03 18:32:48.467639",50.0,0.0,555.0
"2019-06-03 18:32:51.200536",50.0,0.0,505.0
"2019-06-03 18:32:53.919738",50.0,0.0,455.0
"2019-06-03 18:32:56.641379",50.0,0.0,405.0
"2019-06-03 18:32:59.363637",50.0,20.0,375.0
"2019-06-03 18:33:02.088470",50.0,0.0,325.0
"2019-06-03 18:33:04.817332",50.0,20.0,295.0
"2019-06-03 18:33:07.535649",50.0,0.0,245.0
"2019-06-03 18:33:10.264063",50.0,40.0,235.0
"2019-06-03 18:33:12.982922",50.0,15.0,200.0
"2019-06-03 18:33:15.696940",50.0,30.0,180.0
"2019-06-03 18:33:18.420291",50.0,65.0,195.0
"2019-06-03 18:33:21.147381",50.0,200.0,345.0
"2019-06-03 18:33:23.863964",50.0,0.0,295.0
"2019-06-03 18:33:26.582692",50.0,0.0,245.0
"2019-06-03 18:33:29.308224",50.0,0.0,195.0
"2019-06-03 18:33:32.037140",50.0,0.0,145.0
"2019-06-03 18:33:34.759044",50.0,0.0,95.0
"2019-06-03 18:33:37.488559",50.0,120.0,165.0
"2019-06-03 18:33:40.207671",50.0,150.0,265.0
"2019-06-03 18:33:42.939176",50.0,0.0,215.0
"2019-06-03 18:33:46.186197",50.0,0.0,165.0
"2019-06-03 18:33:48.916748",50.0,0.0,115.0
"2019-06-03 18:33:51.640023",50.0,100.0,165.0
"2019-06-03 18:33:54.361238",50.0,0.0,115.0
"2019-06-03 18:33:57.084145",50.0,40.0,105.0
"2019-06-03 18:33:59.804900",50.0,30.0,85.0
"2019-06-03 18:34:02.520981",50.0,0.0,35.0
"2019-06-03 18:34:12.197898",0.0,0.0,1000.0
"2019-06-03 18:34:12.238199",50.0,0.0,950.0
"2019-06-03 18:34:14.993946",50.0,0.0,900.0
"2019-06-03 18:34:17.710437",50.0,0.0,850.0
"2019-06-03 18:34:20.435953",50.0,60.0,860.0
"2019-06-03 18:34:23.174364",50.0,30.0,840.0
"2019-06-03 18:34:26.440749",50.0,0.0,790.0
"2019-06-03 18:34:29.166222",50.0,50.0,790.0
"2019-06-03 18:34:31.889685",50.0,15.0,755.0
"2019-06-03 18:34:34.612924",50.0,0.0,705.0
"2019-06-03 18:34:37.331732",50.0,0.0,655.0
"2019-06-03 18:34:40.060708",50.0,40.0,645.0
"2019-06-03 18:34:43.308217",50.0,3750.0,4345.0
"2019-06-03 18:36:21.845965",50.0,0.0,4295.0
"2019-06-03 18:36:24.570769",50.0,0.0,4245.0
"2019-06-03 18:36:27.291860",50.0,50.0,4245.0
