"Time","Wager","Win","Balance"
"2019-05-30 22:54:44.808534",0.0,0.0,1000.0
"2019-05-30 22:54:44.941521",50.0,0.0,950.0
"2019-05-30 22:54:47.614905",50.0,30.0,930.0
"2019-05-30 22:54:50.256416",50.0,0.0,880.0
"2019-05-30 22:54:52.913979",50.0,0.0,830.0
"2019-05-30 22:54:55.563484",50.0,30.0,810.0
"2019-05-30 22:54:58.211342",50.0,130.0,890.0
"2019-05-30 22:55:00.860409",50.0,0.0,840.0
"2019-05-30 22:55:03.508816",50.0,0.0,790.0
"2019-05-30 22:55:06.150767",50.0,0.0,740.0
"2019-05-30 22:55:08.789454",50.0,255.0,945.0
"2019-05-30 22:55:45.597032",50.0,0.0,895.0
"2019-05-30 22:55:48.235145",50.0,50.0,895.0
"2019-05-30 22:55:50.887946",50.0,0.0,845.0
"2019-05-30 22:55:53.533813",50.0,995.0,1790.0
"2019-05-30 22:56:31.367591",50.0,0.0,1740.0
"2019-05-30 22:56:34.011721",50.0,0.0,1690.0
"2019-05-30 22:56:36.658254",50.0,0.0,1640.0
"2019-05-30 22:56:39.311120",50.0,0.0,1590.0
"2019-05-30 22:56:41.954786",50.0,40.0,1580.0
"2019-05-30 22:56:44.603931",50.0,0.0,1530.0
"2019-05-30 22:56:47.238867",50.0,30.0,1510.0
"2019-05-30 22:56:49.875833",50.0,0.0,1460.0
"2019-05-30 22:56:52.520306",50.0,0.0,1410.0
"2019-05-30 22:56:55.163078",50.0,60.0,1420.0
"2019-05-30 22:56:57.811930",50.0,0.0,1370.0
"2019-05-30 22:57:00.454287",50.0,0.0,1320.0
"2019-05-30 22:57:03.094713",50.0,0.0,1270.0
"2019-05-30 22:57:05.743573",50.0,20.0,1240.0
"2019-05-30 22:57:08.396551",50.0,0.0,1190.0
"2019-05-30 22:57:11.046491",50.0,0.0,1140.0
"2019-05-30 22:57:13.696019",50.0,0.0,1090.0
"2019-05-30 22:57:16.343829",50.0,180.0,1220.0
"2019-05-30 22:57:18.999842",50.0,0.0,1170.0
"2019-05-30 22:57:21.645776",50.0,10.0,1130.0
"2019-05-30 22:57:24.294800",50.0,195.0,1275.0
"2019-05-30 22:57:26.932552",50.0,50.0,1275.0
"2019-05-30 22:57:29.577447",50.0,0.0,1225.0
"2019-05-30 22:57:32.222403",50.0,40.0,1215.0
"2019-05-30 22:57:34.865853",50.0,0.0,1165.0
"2019-05-30 22:57:37.508259",50.0,120.0,1235.0
"2019-05-30 22:57:40.153402",50.0,20.0,1205.0
"2019-05-30 22:57:42.799436",50.0,0.0,1155.0
"2019-05-30 22:57:45.449962",50.0,10.0,1115.0
"2019-05-30 22:57:48.097466",50.0,0.0,1065.0
"2019-05-30 22:57:50.747330",50.0,100.0,1115.0
"2019-05-30 22:57:53.393850",50.0,0.0,1065.0
"2019-05-30 22:57:56.045178",50.0,0.0,1015.0
"2019-05-30 22:57:58.689143",50.0,0.0,965.0
"2019-05-30 22:58:01.332652",50.0,0.0,915.0
"2019-05-30 22:58:03.983729",50.0,0.0,865.0
"2019-05-30 22:58:06.634305",50.0,0.0,815.0
"2019-05-30 22:58:09.281194",50.0,0.0,765.0
"2019-05-30 22:58:11.923613",50.0,80.0,795.0
"2019-05-30 22:58:14.570020",50.0,0.0,745.0
"2019-05-30 22:58:17.215475",50.0,0.0,695.0
"2019-05-30 22:58:19.853862",50.0,0.0,645.0
"2019-05-30 22:58:22.502635",50.0,15.0,610.0
"2019-05-30 22:58:25.177310",50.0,5.0,565.0
"2019-05-30 22:58:27.820629",50.0,0.0,515.0
"2019-05-30 22:58:30.465734",50.0,50.0,515.0
"2019-05-30 22:58:33.123695",50.0,0.0,465.0
"2019-05-30 22:58:35.774897",50.0,0.0,415.0
"2019-05-30 22:58:38.419328",50.0,0.0,365.0
"2019-05-30 22:58:41.071253",50.0,0.0,315.0
"2019-05-30 22:58:43.707173",50.0,970.0,1235.0
"2019-05-30 22:59:22.062337",50.0,0.0,1185.0
"2019-05-30 22:59:24.710153",50.0,0.0,1135.0
"2019-05-30 22:59:27.350343",50.0,0.0,1085.0
"2019-05-30 22:59:29.991198",50.0,30.0,1065.0
"2019-05-30 22:59:32.640942",50.0,0.0,1015.0
"2019-05-30 22:59:35.284178",50.0,25.0,990.0
"2019-05-30 22:59:37.929308",50.0,0.0,940.0
"2019-05-30 22:59:40.587501",50.0,15.0,905.0
"2019-05-30 22:59:43.769852",50.0,0.0,855.0
"2019-05-30 22:59:46.444900",50.0,0.0,805.0
"2019-05-30 22:59:49.103698",50.0,20.0,775.0
"2019-05-30 22:59:51.772349",50.0,30.0,755.0
"2019-05-30 22:59:54.444350",50.0,0.0,705.0
"2019-05-30 22:59:57.109549",50.0,20.0,675.0
"2019-05-30 22:59:59.783755",50.0,0.0,625.0
"2019-05-30 23:00:02.454271",50.0,60.0,635.0
"2019-05-30 23:00:05.118112",50.0,0.0,585.0
"2019-05-30 23:00:07.793425",50.0,0.0,535.0
"2019-05-30 23:00:10.455456",50.0,30.0,515.0
"2019-05-30 23:00:13.127433",50.0,0.0,465.0
"2019-05-30 23:00:15.801941",50.0,80.0,495.0
"2019-05-30 23:00:18.475974",50.0,0.0,445.0
"2019-05-30 23:00:21.143825",50.0,10.0,405.0
"2019-05-30 23:00:27.479876",50.0,0.0,355.0
"2019-05-30 23:00:31.724551",50.0,80.0,385.0
"2019-05-30 23:00:34.395296",50.0,0.0,335.0
"2019-05-30 23:00:37.054896",50.0,0.0,285.0
"2019-05-30 23:00:39.728145",50.0,0.0,235.0
"2019-05-30 23:00:42.396194",50.0,10.0,195.0
"2019-05-30 23:00:45.033568",50.0,0.0,145.0
"2019-05-30 23:00:47.698895",50.0,0.0,95.0
