"Time","Wager","Win","Balance"
"2019-06-04 00:02:33.612173",0.0,0.0,1000.0
"2019-06-04 00:02:33.661015",50.0,10.0,960.0
"2019-06-04 00:02:36.475773",50.0,45.0,955.0
"2019-06-04 00:02:39.195086",50.0,20.0,925.0
"2019-06-04 00:02:41.925599",50.0,0.0,875.0
"2019-06-04 00:02:44.671893",50.0,45.0,870.0
"2019-06-04 00:02:47.413455",50.0,40.0,860.0
"2019-06-04 00:02:50.132841",50.0,0.0,810.0
"2019-06-04 00:02:52.862208",50.0,0.0,760.0
"2019-06-04 00:02:55.094506",50.0,0.0,710.0
"2019-06-04 00:02:57.821395",50.0,5.0,665.0
"2019-06-04 00:03:00.537662",50.0,5.0,620.0
"2019-06-04 00:03:03.261667",50.0,0.0,570.0
"2019-06-04 00:03:05.986848",50.0,0.0,520.0
"2019-06-04 00:03:08.706650",50.0,5.0,475.0
"2019-06-04 00:03:11.447809",50.0,0.0,425.0
"2019-06-04 00:03:14.198232",50.0,0.0,375.0
"2019-06-04 00:03:16.928381",50.0,55.0,380.0
"2019-06-04 00:03:19.658716",50.0,300.0,630.0
"2019-06-04 00:11:53.743322",50.0,0.0,580.0
"2019-06-04 00:11:56.472142",50.0,0.0,530.0
"2019-06-04 00:11:59.190968",50.0,0.0,480.0
"2019-06-04 00:12:01.919151",50.0,20.0,450.0
"2019-06-04 00:12:04.650853",50.0,0.0,400.0
"2019-06-04 00:12:07.368109",50.0,10.0,360.0
"2019-06-04 00:12:10.096143",50.0,600.0,910.0
"2019-06-04 00:12:13.392896",50.0,0.0,860.0
"2019-06-04 00:12:16.135353",50.0,0.0,810.0
"2019-06-04 00:12:18.860602",50.0,0.0,760.0
"2019-06-04 00:12:21.574989",50.0,0.0,710.0
"2019-06-04 00:12:24.290479",50.0,50.0,710.0
"2019-06-04 00:12:27.007346",50.0,0.0,660.0
"2019-06-04 00:12:29.735263",50.0,0.0,610.0
"2019-06-04 00:12:32.464820",50.0,60.0,620.0
"2019-06-04 00:12:35.187647",50.0,0.0,570.0
"2019-06-04 00:12:37.909969",50.0,0.0,520.0
"2019-06-04 00:12:40.642111",50.0,0.0,470.0
"2019-06-04 00:12:43.361408",50.0,0.0,420.0
"2019-06-04 00:12:46.075661",50.0,0.0,370.0
"2019-06-04 00:12:48.789061",50.0,0.0,320.0
"2019-06-04 00:12:51.506434",50.0,0.0,270.0
"2019-06-04 00:12:54.226703",50.0,0.0,220.0
"2019-06-04 00:12:56.414156",50.0,0.0,170.0
"2019-06-04 00:12:59.139890",50.0,0.0,120.0
"2019-06-04 00:13:01.856227",50.0,0.0,70.0
"2019-06-04 00:13:04.581535",50.0,0.0,20.0
"2019-06-04 00:13:08.938923",0.0,0.0,1000.0
"2019-06-04 00:13:08.978789",50.0,0.0,950.0
"2019-06-04 00:13:11.736302",50.0,100.0,1000.0
"2019-06-04 00:13:14.467883",50.0,25.0,975.0
"2019-06-04 00:13:17.206637",50.0,15.0,940.0
"2019-06-04 00:13:19.936530",50.0,0.0,890.0
"2019-06-04 00:13:22.662351",50.0,0.0,840.0
"2019-06-04 00:13:25.382522",50.0,0.0,790.0
"2019-06-04 00:13:28.099407",50.0,20.0,760.0
"2019-06-04 00:13:30.822966",50.0,60.0,770.0
"2019-06-04 00:13:33.541786",50.0,0.0,720.0
"2019-06-04 00:13:35.729849",50.0,45.0,715.0
"2019-06-04 00:13:38.458855",50.0,0.0,665.0
"2019-06-04 00:13:41.180052",50.0,25.0,640.0
"2019-06-04 00:13:43.901405",50.0,25.0,615.0
"2019-06-04 00:13:46.629828",50.0,5.0,570.0
"2019-06-04 00:13:49.351950",50.0,25.0,545.0
"2019-06-04 00:13:52.082145",50.0,0.0,495.0
"2019-06-04 00:13:54.796176",50.0,0.0,445.0
"2019-06-04 00:13:56.980385",50.0,60.0,455.0
"2019-06-04 00:13:59.700999",50.0,35.0,440.0
"2019-06-04 00:14:02.434066",50.0,0.0,390.0
"2019-06-04 00:14:05.159861",50.0,0.0,340.0
"2019-06-04 00:14:07.885180",50.0,25.0,315.0
"2019-06-04 00:14:10.613394",50.0,150.0,415.0
"2019-06-04 00:14:13.335451",50.0,0.0,365.0
"2019-06-04 00:14:16.062356",50.0,0.0,315.0
"2019-06-04 00:14:18.815729",50.0,0.0,265.0
"2019-06-04 00:14:21.022995",50.0,0.0,215.0
"2019-06-04 00:14:23.775976",50.0,0.0,165.0
"2019-06-04 00:14:26.534642",50.0,110.0,225.0
"2019-06-04 00:14:29.273213",50.0,25.0,200.0
"2019-06-04 00:14:32.001958",50.0,0.0,150.0
"2019-06-04 00:14:34.718456",50.0,60.0,160.0
"2019-06-04 00:14:37.433013",50.0,0.0,110.0
"2019-06-04 00:14:40.151820",50.0,0.0,60.0
"2019-06-04 00:14:47.124013",50.0,0.0,10.0
"2019-06-04 00:14:52.261238",0.0,0.0,1000.0
"2019-06-04 00:14:52.301351",50.0,100.0,1050.0
"2019-06-04 00:14:55.048432",50.0,0.0,1000.0
"2019-06-04 00:14:57.771049",50.0,130.0,1080.0
"2019-06-04 00:15:00.508903",50.0,0.0,1030.0
"2019-06-04 00:15:03.240709",50.0,0.0,980.0
"2019-06-04 00:15:05.968205",50.0,60.0,990.0
"2019-06-04 00:15:08.690145",50.0,0.0,940.0
"2019-06-04 00:15:11.417093",50.0,0.0,890.0
"2019-06-04 00:15:14.141923",50.0,0.0,840.0
"2019-06-04 00:15:16.339402",50.0,0.0,790.0
"2019-06-04 00:15:19.066122",50.0,130.0,870.0
"2019-06-04 00:15:21.788571",50.0,5.0,825.0
"2019-06-04 00:15:24.538378",50.0,0.0,775.0
"2019-06-04 00:15:27.256718",50.0,180.0,905.0
"2019-06-04 00:15:29.980816",50.0,20.0,875.0
"2019-06-04 00:15:32.710846",50.0,0.0,825.0
"2019-06-04 00:15:35.434486",50.0,225.0,1000.0
"2019-06-04 00:15:38.165332",50.0,0.0,950.0
"2019-06-04 00:15:40.889229",50.0,5.0,905.0
"2019-06-04 00:15:43.623282",50.0,0.0,855.0
"2019-06-04 00:15:47.946878",50.0,160.0,965.0
"2019-06-04 00:15:50.685901",50.0,25.0,940.0
"2019-06-04 00:15:53.413092",50.0,0.0,890.0
"2019-06-04 00:15:56.127533",50.0,0.0,840.0
"2019-06-04 00:15:58.879338",50.0,0.0,790.0
"2019-06-04 00:16:01.601440",50.0,0.0,740.0
"2019-06-04 00:16:04.332938",50.0,100.0,790.0
"2019-06-04 00:16:07.079668",50.0,15.0,755.0
"2019-06-04 00:16:09.806769",50.0,0.0,705.0
"2019-06-04 00:16:12.530167",50.0,0.0,655.0
"2019-06-04 00:16:15.250354",50.0,0.0,605.0
"2019-06-04 00:16:17.973720",50.0,0.0,555.0
"2019-06-04 00:16:20.691287",50.0,20.0,525.0
"2019-06-04 00:16:23.424132",50.0,20.0,495.0
"2019-06-04 00:16:26.149810",50.0,30.0,475.0
"2019-06-04 00:16:28.873021",50.0,0.0,425.0
"2019-06-04 00:16:31.596217",50.0,0.0,375.0
"2019-06-04 00:16:34.334611",50.0,0.0,325.0
"2019-06-04 00:16:37.056648",50.0,10.0,285.0
"2019-06-04 00:16:39.772384",50.0,30.0,265.0
"2019-06-04 00:16:43.026938",50.0,0.0,215.0
"2019-06-04 00:16:45.755939",50.0,0.0,165.0
"2019-06-04 00:16:47.957445",50.0,0.0,115.0
"2019-06-04 00:16:50.670532",50.0,0.0,65.0
"2019-06-04 00:16:53.393969",50.0,1560.0,1575.0
"2019-06-04 00:16:56.678669",50.0,50.0,1575.0
"2019-06-04 00:16:59.407921",50.0,0.0,1525.0
"2019-06-04 00:17:02.124612",50.0,30.0,1505.0
"2019-06-04 00:17:04.852763",50.0,0.0,1455.0
"2019-06-04 00:17:07.566859",50.0,0.0,1405.0
"2019-06-04 00:17:10.288791",50.0,300.0,1655.0
"2019-06-04 00:17:13.009209",50.0,0.0,1605.0
"2019-06-04 00:17:15.733876",50.0,0.0,1555.0
"2019-06-04 00:17:18.462644",50.0,0.0,1505.0
"2019-06-04 00:17:21.183500",50.0,5.0,1460.0
"2019-06-04 00:17:23.895969",50.0,0.0,1410.0
"2019-06-04 00:17:26.616326",50.0,0.0,1360.0
"2019-06-04 00:17:29.334878",50.0,40.0,1350.0
"2019-06-04 00:17:32.050945",50.0,0.0,1300.0
"2019-06-04 00:17:34.767703",50.0,0.0,1250.0
"2019-06-04 00:17:37.480333",50.0,0.0,1200.0
"2019-06-04 00:17:40.209633",50.0,0.0,1150.0
"2019-06-04 00:17:42.935121",50.0,30.0,1130.0
"2019-06-04 00:17:45.660559",50.0,0.0,1080.0
"2019-06-04 00:17:48.378319",50.0,10.0,1040.0
"2019-06-04 00:17:51.097954",50.0,30.0,1020.0
"2019-06-04 00:17:53.816223",50.0,0.0,970.0
"2019-06-04 00:17:56.535109",50.0,0.0,920.0
"2019-06-04 00:17:59.256710",50.0,0.0,870.0
"2019-06-04 00:18:01.982313",50.0,50.0,870.0
"2019-06-04 00:18:04.704741",50.0,50.0,870.0
"2019-06-04 00:18:07.423565",50.0,0.0,820.0
"2019-06-04 00:18:10.144963",50.0,15.0,785.0
"2019-06-04 00:18:16.606383",50.0,120.0,855.0
"2019-06-04 00:18:19.332255",50.0,0.0,805.0
"2019-06-04 00:18:22.056033",50.0,0.0,755.0
"2019-06-04 00:18:24.779455",50.0,0.0,705.0
"2019-06-04 00:18:27.509110",50.0,10.0,665.0
"2019-06-04 00:18:30.227710",50.0,0.0,615.0
"2019-06-04 00:18:32.955618",50.0,40.0,605.0
"2019-06-04 00:18:35.678946",50.0,60.0,615.0
"2019-06-04 00:18:38.398134",50.0,25.0,590.0
"2019-06-04 00:18:41.118290",50.0,60.0,600.0
"2019-06-04 00:18:43.847438",50.0,100.0,650.0
"2019-06-04 00:18:46.569418",50.0,30.0,630.0
"2019-06-04 00:18:49.290774",50.0,50.0,630.0
"2019-06-04 00:18:52.009584",50.0,0.0,580.0
"2019-06-04 00:18:54.204285",50.0,120.0,650.0
"2019-06-04 00:18:56.923441",50.0,30.0,630.0
"2019-06-04 00:18:59.643813",50.0,0.0,580.0
"2019-06-04 00:19:02.367082",50.0,0.0,530.0
"2019-06-04 00:19:05.080238",50.0,0.0,480.0
"2019-06-04 00:19:07.801956",50.0,30.0,460.0
"2019-06-04 00:19:10.528189",50.0,0.0,410.0
"2019-06-04 00:19:13.252554",50.0,45.0,405.0
"2019-06-04 00:19:15.963179",50.0,10.0,365.0
"2019-06-04 00:19:18.691079",50.0,30.0,345.0
"2019-06-04 00:19:21.420252",50.0,0.0,295.0
"2019-06-04 00:19:24.135648",50.0,0.0,245.0
"2019-06-04 00:19:26.855821",50.0,0.0,195.0
"2019-06-04 00:19:29.602850",50.0,15.0,160.0
"2019-06-04 00:19:32.362556",50.0,0.0,110.0
"2019-06-04 00:19:35.095652",50.0,0.0,60.0
"2019-06-04 00:19:37.823119",50.0,25.0,35.0
"2019-06-04 00:19:42.156271",0.0,0.0,1000.0
"2019-06-04 00:19:42.198265",50.0,60.0,1010.0
"2019-06-04 00:19:44.969818",50.0,0.0,960.0
"2019-06-04 00:19:47.690837",50.0,0.0,910.0
"2019-06-04 00:19:50.439451",50.0,100.0,960.0
"2019-06-04 00:19:53.169564",50.0,200.0,1110.0
"2019-06-04 00:19:56.964002",50.0,15.0,1075.0
"2019-06-04 00:19:59.707538",50.0,0.0,1025.0
"2019-06-04 00:20:02.430566",50.0,0.0,975.0
"2019-06-04 00:20:05.179483",50.0,0.0,925.0
"2019-06-04 00:20:07.915715",50.0,0.0,875.0
"2019-06-04 00:20:10.123960",50.0,0.0,825.0
"2019-06-04 00:20:12.850460",50.0,0.0,775.0
"2019-06-04 00:20:15.580475",50.0,0.0,725.0
"2019-06-04 00:20:18.310725",50.0,100.0,775.0
"2019-06-04 00:20:21.028809",50.0,10.0,735.0
"2019-06-04 00:20:23.761499",50.0,0.0,685.0
"2019-06-04 00:20:26.489342",50.0,80.0,715.0
"2019-06-04 00:20:29.217569",50.0,0.0,665.0
"2019-06-04 00:20:31.940919",50.0,80.0,695.0
"2019-06-04 00:20:34.670925",50.0,0.0,645.0
"2019-06-04 00:20:37.394383",50.0,40.0,635.0
"2019-06-04 00:20:40.119519",50.0,0.0,585.0
"2019-06-04 00:20:42.837817",50.0,100.0,635.0
"2019-06-04 00:20:45.561670",50.0,0.0,585.0
"2019-06-04 00:20:48.283889",50.0,40.0,575.0
"2019-06-04 00:20:51.008299",50.0,75.0,600.0
"2019-06-04 00:20:53.740194",50.0,0.0,550.0
"2019-06-04 00:20:56.449680",50.0,0.0,500.0
"2019-06-04 00:20:59.181683",50.0,0.0,450.0
"2019-06-04 00:21:01.901142",50.0,100.0,500.0
"2019-06-04 00:21:09.951786",50.0,15.0,465.0
"2019-06-04 00:21:12.677001",50.0,0.0,415.0
"2019-06-04 00:21:15.402454",50.0,0.0,365.0
"2019-06-04 00:21:18.135439",50.0,50.0,365.0
"2019-06-04 00:21:20.866741",50.0,20.0,335.0
"2019-06-04 00:21:23.594021",50.0,0.0,285.0
"2019-06-04 00:21:29.514314",50.0,0.0,235.0
"2019-06-04 00:21:32.766784",50.0,50.0,235.0
"2019-06-04 00:21:35.498297",50.0,15.0,200.0
"2019-06-04 00:21:38.217120",50.0,10.0,160.0
"2019-06-04 00:21:40.933263",50.0,0.0,110.0
"2019-06-04 00:21:43.659433",50.0,40.0,100.0
"2019-06-04 00:21:46.382559",50.0,60.0,110.0
"2019-06-04 00:21:49.106658",50.0,0.0,60.0
"2019-06-04 00:21:51.836140",50.0,0.0,10.0
